"# AUTHORITATIVE ROWS ONLY: one row per (record, arm, task, metric), all from the single-pass sampled protocol (never greedy; eos-only stops; thinking stripped before scoring; budgets in max_gen_toks) or the bespoke producers listed in DATA_CONTRACT.md. Full history: superseded/instruct_genbench_vllm_history.csv"
model,E,k,arm,R,task,metric,value,limit,max_gen_toks,secs
qwen35_think_off,256,8,free,,mmlu_flan_cot_fewshot,"exact_match,get-answer",0.850877,4,2048,230
qwen35_think_off,256,8,R8,8,ifeval,sample_len,200.000000,200,2048,294
qwen35_think_off,256,8,R8,8,ifeval,"prompt_level_strict_acc,none",0.725000,200,2048,294
qwen35_think_off,256,8,R8,8,ifeval,"inst_level_strict_acc,none",0.820755,200,2048,294
qwen35_think_off,256,8,R8,8,ifeval,"prompt_level_loose_acc,none",0.770000,200,2048,294
qwen35_think_off,256,8,R8,8,ifeval,"inst_level_loose_acc,none",0.855346,200,2048,294
qwen35_think_off,256,8,R8,8,mmlu_flan_cot_fewshot,sample_len,228.000000,4,2048,1548
qwen35_think_off,256,8,R8,8,mmlu_flan_cot_fewshot,"exact_match,get-answer",0.776316,4,2048,1548
qwen35_think_off,256,8,R32,32,ifeval,sample_len,200.000000,200,2048,320
qwen35_think_off,256,8,R32,32,ifeval,"prompt_level_strict_acc,none",0.840000,200,2048,320
qwen35_think_off,256,8,R32,32,ifeval,"inst_level_strict_acc,none",0.886792,200,2048,320
qwen35_think_off,256,8,R32,32,ifeval,"prompt_level_loose_acc,none",0.865000,200,2048,320
qwen35_think_off,256,8,R32,32,ifeval,"inst_level_loose_acc,none",0.908805,200,2048,320
qwen35_think_off,256,8,R32,32,mmlu_flan_cot_fewshot,sample_len,228.000000,4,2048,1629
qwen35_think_off,256,8,R32,32,mmlu_flan_cot_fewshot,"exact_match,get-answer",0.855263,4,2048,1629
gptoss_20b_high,32,4,free,,gsm8k_cot_zeroshot,sample_len,200.000000,200,4096,151
gptoss_20b_high,32,4,free,,gsm8k_cot_zeroshot,"exact_match,flexible-extract",0.840000,200,4096,151
gptoss_20b_high,32,4,R4,4,gsm8k_cot_zeroshot,sample_len,200.000000,200,4096,315
gptoss_20b_high,32,4,R4,4,gsm8k_cot_zeroshot,"exact_match,flexible-extract",0.820000,200,4096,315
gemma4_think_on,128,8,free,,ifeval,sample_len,200.000000,200,8192,568
gemma4_think_on,128,8,free,,ifeval,"prompt_level_strict_acc,none",0.925000,200,8192,568
gemma4_think_on,128,8,free,,ifeval,"inst_level_strict_acc,none",0.946541,200,8192,568
gemma4_think_on,128,8,free,,ifeval,"prompt_level_loose_acc,none",0.930000,200,8192,568
gemma4_think_on,128,8,free,,ifeval,"inst_level_loose_acc,none",0.949686,200,8192,568
gemma4_think_on,128,8,R8,8,ifeval,sample_len,200.000000,200,8192,1635
gemma4_think_on,128,8,R8,8,ifeval,"prompt_level_strict_acc,none",0.875000,200,8192,1635
gemma4_think_on,128,8,R8,8,ifeval,"inst_level_strict_acc,none",0.905660,200,8192,1635
gemma4_think_on,128,8,R8,8,ifeval,"prompt_level_loose_acc,none",0.870000,200,8192,1635
gemma4_think_on,128,8,R8,8,ifeval,"inst_level_loose_acc,none",0.902516,200,8192,1635
gemma4_think_on,128,8,R16,16,ifeval,sample_len,200.000000,200,8192,1509
gemma4_think_on,128,8,R16,16,ifeval,"prompt_level_strict_acc,none",0.910000,200,8192,1509
gemma4_think_on,128,8,R16,16,ifeval,"inst_level_strict_acc,none",0.930818,200,8192,1509
gemma4_think_on,128,8,R16,16,ifeval,"prompt_level_loose_acc,none",0.915000,200,8192,1509
gemma4_think_on,128,8,R16,16,ifeval,"inst_level_loose_acc,none",0.933962,200,8192,1509
gemma4_think_on,128,8,free,,gsm8k_cot_zeroshot,sample_len,200.000000,200,4096,181
gemma4_think_on,128,8,free,,gsm8k_cot_zeroshot,"exact_match,flexible-extract",0.875000,200,4096,181
gemma4_think_on,128,8,free,,mmlu_flan_cot_fewshot,sample_len,228.000000,4,4096,297
gemma4_think_on,128,8,free,,mmlu_flan_cot_fewshot,"exact_match,get-answer",0.850877,4,4096,297
gemma4_think_on,128,8,R8,8,gsm8k_cot_zeroshot,sample_len,200.000000,200,4096,665
gemma4_think_on,128,8,R8,8,gsm8k_cot_zeroshot,"exact_match,flexible-extract",0.830000,200,4096,665
gemma4_think_on,128,8,R8,8,mmlu_flan_cot_fewshot,sample_len,228.000000,4,4096,1582
gemma4_think_on,128,8,R8,8,mmlu_flan_cot_fewshot,"exact_match,get-answer",0.758772,4,4096,1582
gemma4_think_on,128,8,R16,16,gsm8k_cot_zeroshot,sample_len,200.000000,200,4096,658
gemma4_think_on,128,8,R16,16,gsm8k_cot_zeroshot,"exact_match,flexible-extract",0.860000,200,4096,658
gemma4_think_on,128,8,R16,16,mmlu_flan_cot_fewshot,sample_len,228.000000,4,4096,1536
gemma4_think_on,128,8,R16,16,mmlu_flan_cot_fewshot,"exact_match,get-answer",0.771930,4,4096,1536
gemma4_instruct,128,8,free,,gsm8k_cot_zeroshot,sample_len,200.000000,200,2048,46
gemma4_instruct,128,8,free,,gsm8k_cot_zeroshot,"exact_match,flexible-extract",0.855000,200,2048,46
gemma4_instruct,128,8,R8,8,gsm8k_cot_zeroshot,sample_len,200.000000,200,2048,123
gemma4_instruct,128,8,R8,8,gsm8k_cot_zeroshot,"exact_match,flexible-extract",0.795000,200,2048,123
gemma4_instruct,128,8,R8,8,mmlu_flan_cot_fewshot,sample_len,228.000000,4,2048,1086
gemma4_instruct,128,8,R8,8,mmlu_flan_cot_fewshot,"exact_match,get-answer",0.697368,4,2048,1086
gemma4_instruct,128,8,R16,16,gsm8k_cot_zeroshot,sample_len,200.000000,200,2048,115
gemma4_instruct,128,8,R16,16,gsm8k_cot_zeroshot,"exact_match,flexible-extract",0.855000,200,2048,115
gemma4_instruct,128,8,R16,16,mmlu_flan_cot_fewshot,sample_len,228.000000,4,2048,1054
gemma4_instruct,128,8,R16,16,mmlu_flan_cot_fewshot,"exact_match,get-answer",0.714912,4,2048,1054
gptoss_120b_high,128,4,free,,gsm8k_cot_zeroshot,sample_len,200.000000,200,4096,155
gptoss_120b_high,128,4,free,,gsm8k_cot_zeroshot,"exact_match,flexible-extract",0.830000,200,4096,155
gptoss_120b_high,128,4,R4,4,gsm8k_cot_zeroshot,sample_len,200.000000,200,4096,418
gptoss_120b_high,128,4,R4,4,gsm8k_cot_zeroshot,"exact_match,flexible-extract",0.825000,200,4096,418
gptoss_120b_high,128,4,R16,16,gsm8k_cot_zeroshot,sample_len,200.000000,200,4096,379
gptoss_120b_high,128,4,R16,16,gsm8k_cot_zeroshot,"exact_match,flexible-extract",0.815000,200,4096,379
lfm25_instruct,32,4,free,,ifeval,sample_len,200.000000,200,8192,169
lfm25_instruct,32,4,free,,ifeval,"prompt_level_strict_acc,none",0.875000,200,8192,169
lfm25_instruct,32,4,free,,ifeval,"inst_level_strict_acc,none",0.918239,200,8192,169
lfm25_instruct,32,4,free,,ifeval,"prompt_level_loose_acc,none",0.880000,200,8192,169
lfm25_instruct,32,4,free,,ifeval,"inst_level_loose_acc,none",0.921384,200,8192,169
lfm25_instruct,32,4,R4,4,ifeval,sample_len,200.000000,200,8192,304
lfm25_instruct,32,4,R4,4,ifeval,"prompt_level_strict_acc,none",0.855000,200,8192,304
lfm25_instruct,32,4,R4,4,ifeval,"inst_level_strict_acc,none",0.902516,200,8192,304
lfm25_instruct,32,4,R4,4,ifeval,"prompt_level_loose_acc,none",0.865000,200,8192,304
lfm25_instruct,32,4,R4,4,ifeval,"inst_level_loose_acc,none",0.908805,200,8192,304
olmoe_instruct,64,8,free,,ifeval,sample_len,200.000000,200,2048,34
olmoe_instruct,64,8,free,,ifeval,"prompt_level_strict_acc,none",0.585000,200,2048,34
olmoe_instruct,64,8,free,,ifeval,"inst_level_strict_acc,none",0.704403,200,2048,34
olmoe_instruct,64,8,free,,ifeval,"prompt_level_loose_acc,none",0.640000,200,2048,34
olmoe_instruct,64,8,free,,ifeval,"inst_level_loose_acc,none",0.748428,200,2048,34
olmoe_instruct,64,8,free,,mmlu_flan_cot_fewshot,sample_len,228.000000,4,2048,60
olmoe_instruct,64,8,free,,mmlu_flan_cot_fewshot,"exact_match,get-answer",0.500000,4,2048,60
olmoe_instruct,64,8,R8,8,ifeval,sample_len,200.000000,200,2048,84
olmoe_instruct,64,8,R8,8,ifeval,"prompt_level_strict_acc,none",0.520000,200,2048,84
olmoe_instruct,64,8,R8,8,ifeval,"inst_level_strict_acc,none",0.647799,200,2048,84
olmoe_instruct,64,8,R8,8,ifeval,"prompt_level_loose_acc,none",0.535000,200,2048,84
olmoe_instruct,64,8,R8,8,ifeval,"inst_level_loose_acc,none",0.660377,200,2048,84
olmoe_instruct,64,8,R8,8,mmlu_flan_cot_fewshot,sample_len,228.000000,4,2048,500
olmoe_instruct,64,8,R8,8,mmlu_flan_cot_fewshot,"exact_match,get-answer",0.285088,4,2048,500
lfm25_instruct,32,4,free,,gsm8k_cot_zeroshot,sample_len,200.000000,200,4096,68
lfm25_instruct,32,4,free,,gsm8k_cot_zeroshot,"exact_match,flexible-extract",0.845000,200,4096,68
lfm25_instruct,32,4,R4,4,gsm8k_cot_zeroshot,sample_len,200.000000,200,4096,185
lfm25_instruct,32,4,R4,4,gsm8k_cot_zeroshot,"exact_match,flexible-extract",0.770000,200,4096,185
olmoe_instruct,64,8,free,,gsm8k_cot_zeroshot,sample_len,200.000000,200,2048,32
olmoe_instruct,64,8,free,,gsm8k_cot_zeroshot,"exact_match,flexible-extract",0.695000,200,2048,32
olmoe_instruct,64,8,free,,humaneval_instruct,sample_len,164.000000,full,2048,73
olmoe_instruct,64,8,free,,humaneval_instruct,"pass@1,create_test",0.365854,full,2048,73
olmoe_instruct,64,8,R8,8,gsm8k_cot_zeroshot,sample_len,200.000000,200,2048,92
olmoe_instruct,64,8,R8,8,gsm8k_cot_zeroshot,"exact_match,flexible-extract",0.475000,200,2048,92
olmoe_instruct,64,8,R8,8,humaneval_instruct,sample_len,164.000000,full,2048,222
olmoe_instruct,64,8,R8,8,humaneval_instruct,"pass@1,create_test",0.274390,full,2048,222
gemma4_instruct,128,8,free,,ifeval,sample_len,200.000000,200,2048,94
gemma4_instruct,128,8,free,,ifeval,"prompt_level_strict_acc,none",0.860000,200,2048,94
gemma4_instruct,128,8,free,,ifeval,"inst_level_strict_acc,none",0.902516,200,2048,94
gemma4_instruct,128,8,free,,ifeval,"prompt_level_loose_acc,none",0.875000,200,2048,94
gemma4_instruct,128,8,free,,ifeval,"inst_level_loose_acc,none",0.915094,200,2048,94
gemma4_instruct,128,8,R8,8,ifeval,sample_len,200.000000,200,2048,130
gemma4_instruct,128,8,R8,8,ifeval,"prompt_level_strict_acc,none",0.860000,200,2048,130
gemma4_instruct,128,8,R8,8,ifeval,"inst_level_strict_acc,none",0.902516,200,2048,130
gemma4_instruct,128,8,R8,8,ifeval,"prompt_level_loose_acc,none",0.870000,200,2048,130
gemma4_instruct,128,8,R8,8,ifeval,"inst_level_loose_acc,none",0.911950,200,2048,130
gemma4_instruct,128,8,R16,16,ifeval,sample_len,200.000000,200,2048,162
gemma4_instruct,128,8,R16,16,ifeval,"prompt_level_strict_acc,none",0.870000,200,2048,162
gemma4_instruct,128,8,R16,16,ifeval,"inst_level_strict_acc,none",0.915094,200,2048,162
gemma4_instruct,128,8,R16,16,ifeval,"prompt_level_loose_acc,none",0.875000,200,2048,162
gemma4_instruct,128,8,R16,16,ifeval,"inst_level_loose_acc,none",0.918239,200,2048,162
gptoss_20b,32,4,free,,gsm8k_cot_zeroshot,sample_len,200.000000,200,4096,93
gptoss_20b,32,4,free,,gsm8k_cot_zeroshot,"exact_match,flexible-extract",0.830000,200,4096,93
gptoss_20b,32,4,R4,4,gsm8k_cot_zeroshot,sample_len,200.000000,200,4096,175
gptoss_20b,32,4,R4,4,gsm8k_cot_zeroshot,"exact_match,flexible-extract",0.860000,200,4096,175
gptoss_20b_low,32,4,free,,gsm8k_cot_zeroshot,sample_len,200.000000,200,4096,29
gptoss_20b_low,32,4,free,,gsm8k_cot_zeroshot,"exact_match,flexible-extract",0.850000,200,4096,29
gptoss_20b_low,32,4,R4,4,gsm8k_cot_zeroshot,sample_len,200.000000,200,4096,125
gptoss_20b_low,32,4,R4,4,gsm8k_cot_zeroshot,"exact_match,flexible-extract",0.840000,200,4096,125
gptoss_20b_low,32,4,free,,mmlu_gptoss_relaxed,"acc,relaxed-extract",0.820175,4,4096,109
gptoss_20b_low,32,4,R4,4,mmlu_gptoss_relaxed,"acc,relaxed-extract",0.750000,4,4096,740
gptoss_20b,32,4,free,,mmlu_gptoss_relaxed,"acc,relaxed-extract",0.776316,4,4096,113
gptoss_20b,32,4,R4,4,mmlu_gptoss_relaxed,"acc,relaxed-extract",0.723684,4,4096,815
gptoss_20b_high,32,4,free,,mmlu_gptoss_relaxed,"acc,relaxed-extract",0.776316,4,4096,174
gptoss_20b_high,32,4,R4,4,mmlu_gptoss_relaxed,"acc,relaxed-extract",0.780702,4,4096,845
gptoss_120b,128,4,free,,gsm8k_cot_zeroshot,sample_len,200.000000,200,4096,65
gptoss_120b,128,4,free,,gsm8k_cot_zeroshot,"exact_match,flexible-extract",0.850000,200,4096,65
gptoss_120b,128,4,R4,4,gsm8k_cot_zeroshot,sample_len,200.000000,200,4096,255
gptoss_120b,128,4,R4,4,gsm8k_cot_zeroshot,"exact_match,flexible-extract",0.840000,200,4096,255
gptoss_120b,128,4,R16,16,gsm8k_cot_zeroshot,sample_len,200.000000,200,4096,213
gptoss_120b,128,4,R16,16,gsm8k_cot_zeroshot,"exact_match,flexible-extract",0.835000,200,4096,213
gptoss_120b_low,128,4,free,,gsm8k_cot_zeroshot,sample_len,200.000000,200,4096,39
gptoss_120b_low,128,4,free,,gsm8k_cot_zeroshot,"exact_match,flexible-extract",0.855000,200,4096,39
gptoss_120b_low,128,4,R4,4,gsm8k_cot_zeroshot,sample_len,200.000000,200,4096,186
gptoss_120b_low,128,4,R4,4,gsm8k_cot_zeroshot,"exact_match,flexible-extract",0.875000,200,4096,186
gptoss_120b_low,128,4,R16,16,gsm8k_cot_zeroshot,sample_len,200.000000,200,4096,214
gptoss_120b_low,128,4,R16,16,gsm8k_cot_zeroshot,"exact_match,flexible-extract",0.820000,200,4096,214
gptoss_120b_low,128,4,free,,mmlu_gptoss_relaxed,"acc,relaxed-extract",0.877193,4,4096,115
gptoss_120b_low,128,4,R4,4,mmlu_gptoss_relaxed,"acc,relaxed-extract",0.894737,4,4096,1099
gptoss_120b_low,128,4,R16,16,mmlu_gptoss_relaxed,"acc,relaxed-extract",0.899123,4,4096,1090
gptoss_120b,128,4,free,,mmlu_gptoss_relaxed,"acc,relaxed-extract",0.850877,4,4096,141
gptoss_120b,128,4,R4,4,mmlu_gptoss_relaxed,"acc,relaxed-extract",0.859649,4,4096,1185
gptoss_120b,128,4,R16,16,mmlu_gptoss_relaxed,"acc,relaxed-extract",0.877193,4,4096,1258
gptoss_120b_high,128,4,free,,mmlu_gptoss_relaxed,"acc,relaxed-extract",0.907895,4,4096,257
gptoss_120b_high,128,4,R4,4,mmlu_gptoss_relaxed,"acc,relaxed-extract",0.907895,4,4096,1666
gptoss_120b_high,128,4,R16,16,mmlu_gptoss_relaxed,"acc,relaxed-extract",0.885965,4,4096,1661
qwen35_instruct,256,8,free,,ifeval,sample_len,200.000000,200,8192,2354
qwen35_instruct,256,8,free,,ifeval,"prompt_level_strict_acc,none",0.865000,200,8192,2354
qwen35_instruct,256,8,free,,ifeval,"inst_level_strict_acc,none",0.896226,200,8192,2354
qwen35_instruct,256,8,free,,ifeval,"prompt_level_loose_acc,none",0.880000,200,8192,2354
qwen35_instruct,256,8,free,,ifeval,"inst_level_loose_acc,none",0.905660,200,8192,2354
qwen35_think_off,256,8,free,,gsm8k_cot_zeroshot,sample_len,200.000000,200,2048,180
qwen35_think_off,256,8,free,,gsm8k_cot_zeroshot,"exact_match,flexible-extract",0.850000,200,2048,180
qwen35_think_off,256,8,free,,humaneval_instruct,sample_len,164.000000,full,2048,116
qwen35_think_off,256,8,free,,humaneval_instruct,"pass@1,create_test",0.932927,full,2048,116
qwen35_think_off,256,8,R8,8,gsm8k_cot_zeroshot,sample_len,200.000000,200,2048,340
qwen35_think_off,256,8,R8,8,gsm8k_cot_zeroshot,"exact_match,flexible-extract",0.780000,200,2048,340
qwen35_think_off,256,8,R8,8,humaneval_instruct,sample_len,164.000000,full,2048,541
qwen35_think_off,256,8,R8,8,humaneval_instruct,"pass@1,create_test",0.914634,full,2048,541
qwen35_think_off,256,8,R32,32,gsm8k_cot_zeroshot,sample_len,200.000000,200,2048,329
qwen35_think_off,256,8,R32,32,gsm8k_cot_zeroshot,"exact_match,flexible-extract",0.815000,200,2048,329
qwen35_think_off,256,8,R32,32,humaneval_instruct,sample_len,164.000000,full,2048,528
qwen35_think_off,256,8,R32,32,humaneval_instruct,"pass@1,create_test",0.884146,full,2048,528
gptoss_20b_low,32,4,free,,ifeval,sample_len,200.000000,200,8192,72
gptoss_20b_low,32,4,free,,ifeval,"prompt_level_strict_acc,none",0.685000,200,8192,72
gptoss_20b_low,32,4,free,,ifeval,"inst_level_strict_acc,none",0.789308,200,8192,72
gptoss_20b_low,32,4,free,,ifeval,"prompt_level_loose_acc,none",0.720000,200,8192,72
gptoss_20b_low,32,4,free,,ifeval,"inst_level_loose_acc,none",0.814465,200,8192,72
gptoss_20b_low,32,4,R4,4,ifeval,sample_len,200.000000,200,8192,400
gptoss_20b_low,32,4,R4,4,ifeval,"prompt_level_strict_acc,none",0.715000,200,8192,400
gptoss_20b_low,32,4,R4,4,ifeval,"inst_level_strict_acc,none",0.801887,200,8192,400
gptoss_20b_low,32,4,R4,4,ifeval,"prompt_level_loose_acc,none",0.760000,200,8192,400
gptoss_20b_low,32,4,R4,4,ifeval,"inst_level_loose_acc,none",0.836478,200,8192,400
gptoss_20b,32,4,free,,ifeval,sample_len,200.000000,200,8192,274
gptoss_20b,32,4,free,,ifeval,"prompt_level_strict_acc,none",0.830000,200,8192,274
gptoss_20b,32,4,free,,ifeval,"inst_level_strict_acc,none",0.893082,200,8192,274
gptoss_20b,32,4,free,,ifeval,"prompt_level_loose_acc,none",0.860000,200,8192,274
gptoss_20b,32,4,free,,ifeval,"inst_level_loose_acc,none",0.911950,200,8192,274
gptoss_20b,32,4,R4,4,ifeval,sample_len,200.000000,200,8192,466
gptoss_20b,32,4,R4,4,ifeval,"prompt_level_strict_acc,none",0.770000,200,8192,466
gptoss_20b,32,4,R4,4,ifeval,"inst_level_strict_acc,none",0.849057,200,8192,466
gptoss_20b,32,4,R4,4,ifeval,"prompt_level_loose_acc,none",0.790000,200,8192,466
gptoss_20b,32,4,R4,4,ifeval,"inst_level_loose_acc,none",0.861635,200,8192,466
gptoss_20b_high,32,4,free,,ifeval,sample_len,200.000000,200,8192,297
gptoss_20b_high,32,4,free,,ifeval,"prompt_level_strict_acc,none",0.790000,200,8192,297
gptoss_20b_high,32,4,free,,ifeval,"inst_level_strict_acc,none",0.842767,200,8192,297
gptoss_20b_high,32,4,free,,ifeval,"prompt_level_loose_acc,none",0.795000,200,8192,297
gptoss_20b_high,32,4,free,,ifeval,"inst_level_loose_acc,none",0.845912,200,8192,297
gptoss_20b_high,32,4,R4,4,ifeval,sample_len,200.000000,200,8192,546
gptoss_20b_high,32,4,R4,4,ifeval,"prompt_level_strict_acc,none",0.760000,200,8192,546
gptoss_20b_high,32,4,R4,4,ifeval,"inst_level_strict_acc,none",0.823899,200,8192,546
gptoss_20b_high,32,4,R4,4,ifeval,"prompt_level_loose_acc,none",0.770000,200,8192,546
gptoss_20b_high,32,4,R4,4,ifeval,"inst_level_loose_acc,none",0.830189,200,8192,546
gptoss_120b_low,128,4,free,,ifeval,sample_len,200.000000,200,8192,401
gptoss_120b_low,128,4,free,,ifeval,"prompt_level_strict_acc,none",0.760000,200,8192,401
gptoss_120b_low,128,4,free,,ifeval,"inst_level_strict_acc,none",0.842767,200,8192,401
gptoss_120b_low,128,4,free,,ifeval,"prompt_level_loose_acc,none",0.805000,200,8192,401
gptoss_120b_low,128,4,free,,ifeval,"inst_level_loose_acc,none",0.874214,200,8192,401
gptoss_120b_low,128,4,R4,4,ifeval,sample_len,200.000000,200,8192,673
gptoss_120b_low,128,4,R4,4,ifeval,"prompt_level_strict_acc,none",0.740000,200,8192,673
gptoss_120b_low,128,4,R4,4,ifeval,"inst_level_strict_acc,none",0.827044,200,8192,673
gptoss_120b_low,128,4,R4,4,ifeval,"prompt_level_loose_acc,none",0.795000,200,8192,673
gptoss_120b_low,128,4,R4,4,ifeval,"inst_level_loose_acc,none",0.864780,200,8192,673
gptoss_120b_low,128,4,R16,16,ifeval,sample_len,200.000000,200,8192,675
gptoss_120b_low,128,4,R16,16,ifeval,"prompt_level_strict_acc,none",0.715000,200,8192,675
gptoss_120b_low,128,4,R16,16,ifeval,"inst_level_strict_acc,none",0.811321,200,8192,675
gptoss_120b_low,128,4,R16,16,ifeval,"prompt_level_loose_acc,none",0.760000,200,8192,675
gptoss_120b_low,128,4,R16,16,ifeval,"inst_level_loose_acc,none",0.842767,200,8192,675
gptoss_120b,128,4,free,,ifeval,sample_len,200.000000,200,8192,406
gptoss_120b,128,4,free,,ifeval,"prompt_level_strict_acc,none",0.830000,200,8192,406
gptoss_120b,128,4,free,,ifeval,"inst_level_strict_acc,none",0.893082,200,8192,406
gptoss_120b,128,4,free,,ifeval,"prompt_level_loose_acc,none",0.855000,200,8192,406
gptoss_120b,128,4,free,,ifeval,"inst_level_loose_acc,none",0.908805,200,8192,406
gptoss_120b,128,4,R4,4,ifeval,sample_len,200.000000,200,8192,697
gptoss_120b,128,4,R4,4,ifeval,"prompt_level_strict_acc,none",0.835000,200,8192,697
gptoss_120b,128,4,R4,4,ifeval,"inst_level_strict_acc,none",0.889937,200,8192,697
