label,run,budget,regime,grain,layer,E,k,PR_median,generalist_frac,router_entropy,eff_rank,strong_corr_pairs,dist2centroid_mean,pairwise_cos_med,pairwise_cos_p99,geometry_note
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,12,64,6,0.5194,0.5469,0.9338,45.4,0,,,,checkpoint unreadable: FileNotFoundError: [Errno 2] No such file or directory: '/workspace/temporal-moe/results/phase0/runs/g1_tmoe_coarse_1e19/ckpt/latest_chec
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,13,64,6,0.5053,0.5156,0.9319,36.09,0,,,,checkpoint unreadable: FileNotFoundError: [Errno 2] No such file or directory: '/workspace/temporal-moe/results/phase0/runs/g1_tmoe_coarse_1e19/ckpt/latest_chec
g1_tmoe_coarse_1e19,g1_tmoe_coarse_1e19,1e19,temporal,coarse 6/64,14,64,6,0.4583,0.4375,0.9252,34.72,0,,,,checkpoint unreadable: FileNotFoundError: [Errno 2] No such file or directory: '/workspace/temporal-moe/results/phase0/runs/g1_tmoe_coarse_1e19/ckpt/latest_chec
moe_coarse_1e19,moe_coarse_1e19,1e19,full,coarse 6/64,2,64,6,0.8959,0.9688,0.9849,17.13,0,,,,checkpoint unreadable: FileNotFoundError: [Errno 2] No such file or directory: '/workspace/temporal-moe/results/phase0/runs/moe_coarse_1e19/ckpt/latest_checkpoi
moe_coarse_1e19,moe_coarse_1e19,1e19,full,coarse 6/64,3,64,6,0.7313,1.0,0.9665,33.12,0,,,,checkpoint unreadable: FileNotFoundError: [Errno 2] No such file or directory: '/workspace/temporal-moe/results/phase0/runs/moe_coarse_1e19/ckpt/latest_checkpoi
moe_coarse_1e19,moe_coarse_1e19,1e19,full,coarse 6/64,4,64,6,0.5909,0.9375,0.9407,36.52,0,,,,checkpoint unreadable: FileNotFoundError: [Errno 2] No such file or directory: '/workspace/temporal-moe/results/phase0/runs/moe_coarse_1e19/ckpt/latest_checkpoi
moe_coarse_1e19,moe_coarse_1e19,1e19,full,coarse 6/64,5,64,6,0.4473,0.2344,0.9071,36.48,0,,,,checkpoint unreadable: FileNotFoundError: [Errno 2] No such file or directory: '/workspace/temporal-moe/results/phase0/runs/moe_coarse_1e19/ckpt/latest_checkpoi
moe_coarse_1e19,moe_coarse_1e19,1e19,full,coarse 6/64,6,64,6,0.3566,0.0,0.8806,41.66,0,,,,checkpoint unreadable: FileNotFoundError: [Errno 2] No such file or directory: '/workspace/temporal-moe/results/phase0/runs/moe_coarse_1e19/ckpt/latest_checkpoi
moe_coarse_1e19,moe_coarse_1e19,1e19,full,coarse 6/64,7,64,6,0.3102,0.0,0.8589,40.43,0,,,,checkpoint unreadable: FileNotFoundError: [Errno 2] No such file or directory: '/workspace/temporal-moe/results/phase0/runs/moe_coarse_1e19/ckpt/latest_checkpoi
moe_coarse_1e19,moe_coarse_1e19,1e19,full,coarse 6/64,8,64,6,0.2655,0.0,0.8351,36.01,1,,,,checkpoint unreadable: FileNotFoundError: [Errno 2] No such file or directory: '/workspace/temporal-moe/results/phase0/runs/moe_coarse_1e19/ckpt/latest_checkpoi
moe_coarse_1e19,moe_coarse_1e19,1e19,full,coarse 6/64,9,64,6,0.2332,0.0,0.8139,36.28,1,,,,checkpoint unreadable: FileNotFoundError: [Errno 2] No such file or directory: '/workspace/temporal-moe/results/phase0/runs/moe_coarse_1e19/ckpt/latest_checkpoi
moe_coarse_1e19,moe_coarse_1e19,1e19,full,coarse 6/64,10,64,6,0.1963,0.0,0.7885,35.59,3,,,,checkpoint unreadable: FileNotFoundError: [Errno 2] No such file or directory: '/workspace/temporal-moe/results/phase0/runs/moe_coarse_1e19/ckpt/latest_checkpoi
moe_coarse_1e19,moe_coarse_1e19,1e19,full,coarse 6/64,11,64,6,0.1792,0.0,0.7659,35.78,8,,,,checkpoint unreadable: FileNotFoundError: [Errno 2] No such file or directory: '/workspace/temporal-moe/results/phase0/runs/moe_coarse_1e19/ckpt/latest_checkpoi
moe_coarse_1e19,moe_coarse_1e19,1e19,full,coarse 6/64,12,64,6,0.1577,0.0,0.7573,36.68,2,,,,checkpoint unreadable: FileNotFoundError: [Errno 2] No such file or directory: '/workspace/temporal-moe/results/phase0/runs/moe_coarse_1e19/ckpt/latest_checkpoi
moe_coarse_1e19,moe_coarse_1e19,1e19,full,coarse 6/64,13,64,6,0.1619,0.0,0.7569,36.04,8,,,,checkpoint unreadable: FileNotFoundError: [Errno 2] No such file or directory: '/workspace/temporal-moe/results/phase0/runs/moe_coarse_1e19/ckpt/latest_checkpoi
moe_coarse_1e19,moe_coarse_1e19,1e19,full,coarse 6/64,14,64,6,0.1666,0.0,0.7565,28.24,8,,,,checkpoint unreadable: FileNotFoundError: [Errno 2] No such file or directory: '/workspace/temporal-moe/results/phase0/runs/moe_coarse_1e19/ckpt/latest_checkpoi
temporal_fine_g3_1e19,temporal_fine_g3_1e19,1e19,temporal,fine 18/192,2,192,18,0.8437,0.9948,0.9872,103.68,1,,,,checkpoint unreadable: FileNotFoundError: [Errno 2] No such file or directory: '/workspace/temporal-moe/results/phase0/runs/temporal_fine_g3_1e19/ckpt/latest_ch
temporal_fine_g3_1e19,temporal_fine_g3_1e19,1e19,temporal,fine 18/192,3,192,18,0.558,0.6094,0.963,115.27,0,,,,checkpoint unreadable: FileNotFoundError: [Errno 2] No such file or directory: '/workspace/temporal-moe/results/phase0/runs/temporal_fine_g3_1e19/ckpt/latest_ch
temporal_fine_g3_1e19,temporal_fine_g3_1e19,1e19,temporal,fine 18/192,4,192,18,0.6356,0.7396,0.9638,77.66,1,,,,checkpoint unreadable: FileNotFoundError: [Errno 2] No such file or directory: '/workspace/temporal-moe/results/phase0/runs/temporal_fine_g3_1e19/ckpt/latest_ch
temporal_fine_g3_1e19,temporal_fine_g3_1e19,1e19,temporal,fine 18/192,5,192,18,0.5671,0.651,0.9598,94.3,0,,,,checkpoint unreadable: FileNotFoundError: [Errno 2] No such file or directory: '/workspace/temporal-moe/results/phase0/runs/temporal_fine_g3_1e19/ckpt/latest_ch
temporal_fine_g3_1e19,temporal_fine_g3_1e19,1e19,temporal,fine 18/192,6,192,18,0.552,0.6094,0.9581,102.36,0,,,,checkpoint unreadable: FileNotFoundError: [Errno 2] No such file or directory: '/workspace/temporal-moe/results/phase0/runs/temporal_fine_g3_1e19/ckpt/latest_ch
temporal_fine_g3_1e19,temporal_fine_g3_1e19,1e19,temporal,fine 18/192,7,192,18,0.5093,0.5208,0.9519,95.45,1,,,,checkpoint unreadable: FileNotFoundError: [Errno 2] No such file or directory: '/workspace/temporal-moe/results/phase0/runs/temporal_fine_g3_1e19/ckpt/latest_ch
temporal_fine_g3_1e19,temporal_fine_g3_1e19,1e19,temporal,fine 18/192,8,192,18,0.5086,0.5156,0.9509,86.53,0,,,,checkpoint unreadable: FileNotFoundError: [Errno 2] No such file or directory: '/workspace/temporal-moe/results/phase0/runs/temporal_fine_g3_1e19/ckpt/latest_ch
temporal_fine_g3_1e19,temporal_fine_g3_1e19,1e19,temporal,fine 18/192,9,192,18,0.4773,0.4271,0.9466,93.82,1,,,,checkpoint unreadable: FileNotFoundError: [Errno 2] No such file or directory: '/workspace/temporal-moe/results/phase0/runs/temporal_fine_g3_1e19/ckpt/latest_ch
temporal_fine_g3_1e19,temporal_fine_g3_1e19,1e19,temporal,fine 18/192,10,192,18,0.45,0.4062,0.9465,97.82,0,,,,checkpoint unreadable: FileNotFoundError: [Errno 2] No such file or directory: '/workspace/temporal-moe/results/phase0/runs/temporal_fine_g3_1e19/ckpt/latest_ch
temporal_fine_g3_1e19,temporal_fine_g3_1e19,1e19,temporal,fine 18/192,11,192,18,0.4394,0.3854,0.9395,60.01,3,,,,checkpoint unreadable: FileNotFoundError: [Errno 2] No such file or directory: '/workspace/temporal-moe/results/phase0/runs/temporal_fine_g3_1e19/ckpt/latest_ch
temporal_fine_g3_1e19,temporal_fine_g3_1e19,1e19,temporal,fine 18/192,12,192,18,0.3897,0.3073,0.937,89.33,0,,,,checkpoint unreadable: FileNotFoundError: [Errno 2] No such file or directory: '/workspace/temporal-moe/results/phase0/runs/temporal_fine_g3_1e19/ckpt/latest_ch
temporal_fine_g3_1e19,temporal_fine_g3_1e19,1e19,temporal,fine 18/192,13,192,18,0.4055,0.3125,0.9363,49.77,0,,,,checkpoint unreadable: FileNotFoundError: [Errno 2] No such file or directory: '/workspace/temporal-moe/results/phase0/runs/temporal_fine_g3_1e19/ckpt/latest_ch
temporal_fine_g3_1e19,temporal_fine_g3_1e19,1e19,temporal,fine 18/192,14,192,18,0.4317,0.3906,0.9306,36.2,7,,,,checkpoint unreadable: FileNotFoundError: [Errno 2] No such file or directory: '/workspace/temporal-moe/results/phase0/runs/temporal_fine_g3_1e19/ckpt/latest_ch
